precio,precio_viejo,modelo,marca,precio_nuevo
7499,,Laptop Lenovo G40-45:,Lenovo,
5399,,Laptop ASUS X540SA-XX002T:,ASUS,
11799,,Laptop Lenovo Ideapad Z40-70:,Lenovo,
20299,,Laptop DELL Inspiron 15-7568:,DELL,
20399,,Laptop Lenovo ThinkPad T440P:,Lenovo,
14199,,Laptop ASUS X556UA:,ASUS,
33699,,Laptop HP ZBook 15 G3:,Hewlett Packard,
31599,,ASUS ROG G501VW-FY116T:,ASUS,
22099,,Laptop HP Probook 640:,Hewlett Packard,
5499,,Laptop HP 15-ac102la:,Hewlett Packard,
10699,,Laptop Acer Aspire V3-574-55CP:,Acer,
18099,,Laptop DELL Latitude E5550:,DELL,
17699,,Laptop DELL Inspiron 13-7359:,DELL,
16299,,Laptop DELL Inspiron 15-5559:,DELL,
15399,,Laptop Lenovo Ideapad 500-14ISK:,Lenovo,
7299,,Laptop Lenovo Yoga 300-11IBY:,Lenovo,
13299,,Laptop DELL Inspiron 15 3558:,DELL,
5699,,Laptop Acer Aspire ES1-521-20AU:,Acer,
9899,,Laptop DELL Inspiron 14-3458:,DELL,
8299,,Laptop Toshiba Satellite C45-C4322K:,Toshiba,
12799,,Laptop DELL Inspiron 14-3459:,DELL,
10299,,Laptop DELL Inspiron 15-3558:,DELL,
6099,,Laptop Lanix Neuron A:,LANIX,
10399,,Laptop Lenovo Yoga Tab 500-14ACL:,Lenovo,
17499,,Laptop DELL Latitude 3470:,DELL,
12799,,Laptop DELL Inspiron 14 3458:,DELL,
27399,,Laptop ASUS ROG GL552VX:,ASUS,
44199,,Laptop DELL Alienware  17:,DELL,
23699,,Laptop Toshiba Portégé Z30:,Toshiba,
28899,,Laptop HP EliteBook Folio 1040 G3:,Hewlett Packard,
23399,,Laptop Lenovo Yoga 3 Pro:,Lenovo,
34299,,Laptop Lenovo  ThinkPad P40 Yoga:,Lenovo,
32799,,Laptop DELL XPS 15-9550:,DELL,
32999,,Laptop DELL Alienware 15 R2:,DELL,
,16999,HP ProBook 440 G3:,Hewlett Packard,15999
13199,,Laptop DELL INSPIRON 15-5459:,DELL,
10599,,Laptop DELL Inspiron 14 3458:,DELL,
17699,,Laptop Latitude E5450:,DELL,
16499,,Laptop Lenovo Thinkpad E465:,Lenovo,
7799,,Laptop ASUS VivoBook Flip TP201SA-FV0009T:,ASUS,
,11999,Laptop Lenovo Ideapad Z51-70:,Lenovo,10999
41999,,Laptop Lenovo ThinkPad P50:,Lenovo,
10699,,Laptop HP Pavilion 14-ab156la:,Hewlett Packard,
4599,,Laptop 2 en 1 Lanix Neuron PAD:,LANIX,
29399,,Laptop HP ZBook 14 G2:,Hewlett Packard,
13199,,Laptop DELL Inspiron 14 5459:,DELL,
14999,,Laptop DELL Latitude 3460:,DELL,
31899,,Laptop ASUS:,ASUS,
22199,,Laptop DELL Latitude E7250:,DELL,
9699,,Laptop Lanix Neuron V:,LANIX,
10399,,Laptop Lanix Neuron V:,LANIX,
6199,,Laptop Acer Aspire E5-473-C0KV:,Acer,
5299,,Laptop Lenovo Ideapad 100:,Lenovo,
34299,,Laptop DELL Alienware 17:,DELL,
9199,,Laptop HP Pavilion 15-ab113la:,Hewlett Packard,
21299,,Laptop DELL Latitude E5470:,DELL,
38299,,Laptop DELL XPS 15-9550:,DELL,
40299,,Laptop DELL Alienware 15 R2:,DELL,
8099,,Laptop HP 240 G4:,Hewlett Packard,
7399,,Laptop DELL Inspiron 15 3552:,DELL,
31499,,Laptop DELL Alienware 15 R2:,DELL,
18899,,Laptop Lenovo ThinkPad T450:,Lenovo,
28599,,Laptop DELL Latitude E7270:,DELL,
21799,,Laptop DELL XPS 13-9350:,DELL,
13099,,Laptop ASUS VivoBook Flip TP301UA:,ASUS,
12999,,Laptop Lenovo ThinkPad 11e:,Lenovo,
28299,,Laptop Lenovo ThinkPad T460S:,Lenovo,
27699,,Laptop Lenovo Thinkpad Yoga 260:,Lenovo,
10199,,Laptop DELL Vostro 14-3458:,DELL,
7799,,Laptop Lenovo Yoga 11s:,Lenovo,
18799,,Laptop DELL Latitude E5470:,DELL,
25399,,Laptop DELL Latitude E7450:,DELL,
22199,,Laptop DELL Latitude E7250:,DELL,
8599,,Laptop DELL Inspiron 14-3452:,DELL,
12599,,Lanix Neuron V:,LANIX,
6999,,Laptop ASUS X540SA:,ASUS,
10799,,Laptop DELL Inspiron 14-5458:,DELL,
7699,,Laptop HP 240 G4:,Hewlett Packard,
16999,,Laptop ASUS VivoBook Flip TP501UA:,ASUS,
24299,,Laptop DELL Latitude E5470:,DELL,
16699,,Laptop Lenovo ThinkPad L440:,Lenovo,
25899,,Laptop DELL XPS 13 9350:,DELL,
25399,,Laptop Lenovo Ideapad Y700-17ISK:,Lenovo,
15099,,Laptop Lenovo ThinkPad E460:,Lenovo,
8099,,Laptop Acer Aspire E5-473-39Q0:,Acer,
18099,,Laptop Toshiba Tecra Z40-B:,Toshiba,
26499,,Laptop DELL Inspiron 15-7559:,DELL,
21699,,Laptop Lenovo ThinkPad T460P:,Hewlett Packard,
7499,,Laptop Lenovo IdeaPad 300-14IBR:,Lenovo,
6999,,Laptop ASUS X540SA:,ASUS,
39899,,Laptop HP ZBOOK 14:,Hewlett Packard,
24899,,Laptop DELL Latitude E7270:,DELL,
18399,,Laptop DELL Latitude E5470:,DELL,
11699,,Laptop Acer Aspire R3-431T-36NX:,Acer,
5999,,2IN1 ASUS T100 10.1  ATOM X5-Z8500 4GBRAM/64GBDD WIN10 BLA,ASUS,
18699,,Laptop DELL Inspiron 15-5559:,DELL,
10799,,Laptop DELL Inspiron 15-5558:,DELL,
22999,,Laptop ASUS VivoBook Flip TP501UB:,ASUS,
38499,,Laptop HP ZBook 17 G3:,Hewlett Packard,
16399,,Laptop Latitude E6440:,DELL,
8899,,Laptop Lenovo Ideapad 100-14IBD:,Lenovo,
10499,,Laptop DELL Inspiron 3458:,DELL,
35999,,Laptop DELL Precision M6800:,DELL,
7699,,Laptop Acer Aspire E5-573-P3W7 :,Acer,
13799,,Laptop DELL Inspiron  15-5559:,DELL,
18399,,Laptop DELL Latitude E5470:,DELL,
19799,,Laptop DELL Inspiron 15-5559:,DELL,
35699,,Laptop DELL Alienware 17:,DELL,
38199,,Laptop DELL Alienware 15 R2:,DELL,
8099,,Laptop HP 240 G2:,Hewlett Packard,
5699,,Laptop ASUS EeeBook E402SA:,ASUS,
13199,,Laptop Lenovo ThinkPad L440:,Lenovo,
11399,,Laptop DELL Inspiron 14-5458:,DELL,
11199,,Laptop Acer Aspire R3-431T-35CU:,Acer,
19299,,Laptop Lenovo ThinkPad T560:,Lenovo,
5499,,Laptop 2 en 1 ASUS Transformer Book T100:,ASUS,
12799,,Laptop DELL Inspiron 14-3458:,DELL,
15099,,Laptop Acer TravelMate TMP446-M-56LE:,Acer,
20699,,Laptop HP EliteBook 745 G3:,Hewlett Packard,
26699,,Laptop Lenovo ThinkPad  X1 Carbon:,Lenovo,
7099,,Laptop Lenovo G40-30 Silver:,Lenovo,
26999,,Laptop DELL XPS 13:,DELL,
6099,,Laptop Lanix Neuron R:,LANIX,
5599,,Laptop Acer Aspire ES1-420-35BG:,Acer,
19699,,Laptop ASUS ZenBook UX305CA:,ASUS,
30299,,Laptop HP EliteBook Folio 1020 G1:,Hewlett Packard,
9399,,Laptop ASUS VivoBook X455LA-WX443T:,ASUS,
15199,,Laptop DELL Latitude 3560:,DELL,
27299,,Laptop 2 en 1 Lenovo ThinkPad Helix:,Lenovo,
12799,,Laptop DELL Inspiron 3558:,DELL,
37499,,Laptop HP ZBook 17 G2:,Hewlett Packard,
6999,,Laptop ASUS X540SA-XX178T:,ASUS,
7499,,Laptop Lenovo Ideapad 300-15IBR:,Lenovo,
12899,,Laptop DELL Vostro 3459:,DELL,
15199,,Laptop DELL Inspiron 15-5559:,DELL,
25799,,Laptop DELL XPS 13-9343:,DELL,
22399,,Laptop Lenovo ThinkPad  X260:,Lenovo,
21299,,Laptop DELL Latitude E7250:,DELL,
36299,,Laptop DELL XPS 13:,DELL,
6999,,Laptop Lanix Neuron RII:,LANIX,
38099,,Laptop DELL 9550:,DELL,
22399,,Laptop Lenovo Yoga 3 Pro:,Lenovo,
7099,,Laptop Acer Aspire R3-131T-C0GX:,Acer,
25799,,Laptop Lenovo Latitude E7270:,DELL,
12099,,Laptop Lenovo IDEAPAD YOGA 3:,Lenovo,
